------------------在性能统计中检查CSC3300的335674320 模块CPU平均占用率大于60%------------------
获取数据失败
Connection to Sybase server has been lost. All active transactions have been rolled back
------------------在性能统计中查询1056974608 CPU平均占用率测量结果大于80%------------------
无
------------------在性能统计中查询1056974658 单板内存占用率测量结果大于85%------------------
开始时间	结束时间	单板内存平均占用率	网元名称	位置	位置名称	
------------------在性能统计中查询ATS接通率------------------
StartTime	EndTime	网元名	ATS O侧接通率	ATS T侧接通率	ATS AS 接通率	
------------------在性能统计中查询PSBC接通率------------------
StartTime	EndTime	网元名	PSBC接通率	
------------------在性能统计中查询PSBC注册成功率------------------
StartTime	EndTime	网元名	PSBC初始注册成功率	PSBC重注册成功率	
------------------在性能统计中查询CSCF接通率------------------
StartTime	EndTime	网元名	CSCF接通率	CSCF MO接通率	CSCF MT接通率	
2017/12/20 21:45:00	2017/12/20 22:00:00	HZISBG09BHW	86.582	83.569	89.101	
2017/12/20 21:45:00	2017/12/20 22:00:00	HZISBG12BHW	87.51	84.134	90.484	
2017/12/20 22:00:00	2017/12/20 22:15:00	HZISBG09BHW	86.256	83.25	88.8	
2017/12/20 22:00:00	2017/12/20 22:15:00	HZISBG12BHW	87.381	84.069	90.328	
2017/12/20 22:15:00	2017/12/20 22:30:00	HZISBG09BHW	85.877	82.966	88.289	
2017/12/20 22:15:00	2017/12/20 22:30:00	HZISBG12BHW	87.062	83.975	89.776	
2017/12/20 22:30:00	2017/12/20 22:45:00	HZISBG09BHW	84.863	82.6	86.732	
2017/12/20 22:30:00	2017/12/20 22:45:00	HZISBG12BHW	85.634	83.43	87.544	
2017/12/20 22:45:00	2017/12/20 23:00:00	HZISBG09BHW	84.345	82.324	85.999	
2017/12/20 22:45:00	2017/12/20 23:00:00	HZISBG12BHW	86.543	83.78	88.947	
2017/12/20 23:00:00	2017/12/20 23:15:00	HZISBG09BHW	83.367	80.851	85.453	
2017/12/20 23:00:00	2017/12/20 23:15:00	HZISBG12BHW	85.605	82.681	88.202	
2017/12/20 23:15:00	2017/12/20 23:30:00	HZISBG09BHW	82.911	80.598	84.822	
2017/12/20 23:15:00	2017/12/20 23:30:00	HZISBG12BHW	85.599	82.929	87.99	
2017/12/20 23:30:00	2017/12/20 23:45:00	HZISBG09BHW	82.01	80.5	83.223	
2017/12/20 23:30:00	2017/12/20 23:45:00	HZISBG12BHW	84.594	83.021	85.963	
2017/12/20 23:45:00	2017/12/21 0:00:00	HZISBG09BHW	82.526	80.985	83.791	
2017/12/20 23:45:00	2017/12/21 0:00:00	HZISBG12BHW	85.627	83.291	87.668	
2017/12/21 0:00:00	2017/12/21 0:15:00	HZISBG09BHW	81.496	80.205	82.543	
2017/12/21 0:00:00	2017/12/21 0:15:00	HZISBG12BHW	85.173	83.089	87.017	
2017/12/21 0:15:00	2017/12/21 0:30:00	HZISBG09BHW	80.457	79.93	80.873	
2017/12/21 0:15:00	2017/12/21 0:30:00	HZISBG12BHW	84.644	82.406	86.616	
2017/12/21 0:30:00	2017/12/21 0:45:00	HZISBG09BHW	79.864	78.415	81.036	
2017/12/21 0:30:00	2017/12/21 0:45:00	HZISBG12BHW	84.002	82.3	85.508	
2017/12/21 0:45:00	2017/12/21 1:00:00	HZISBG09BHW	78.415	77.149	79.448	
2017/12/21 0:45:00	2017/12/21 1:00:00	HZISBG12BHW	83.312	81.203	85.112	
2017/12/21 1:00:00	2017/12/21 1:15:00	HZISBG09BHW	76.824	76.081	77.425	
2017/12/21 1:00:00	2017/12/21 1:15:00	HZISBG12BHW	84.693	82.455	86.633	
2017/12/21 1:15:00	2017/12/21 1:30:00	HZISBG09BHW	76.74	75.581	77.669	
2017/12/21 1:15:00	2017/12/21 1:30:00	HZISBG12BHW	83.072	81.57	84.311	
2017/12/21 1:30:00	2017/12/21 1:45:00	HZISBG09BHW	75.915	74.982	76.666	
2017/12/21 1:30:00	2017/12/21 1:45:00	HZISBG12BHW	82.784	81.393	83.95	
2017/12/21 1:45:00	2017/12/21 2:00:00	HZISBG09BHW	74.711	73.645	75.566	
2017/12/21 1:45:00	2017/12/21 2:00:00	HZISBG12BHW	81.165	80.587	81.634	
2017/12/21 2:00:00	2017/12/21 2:15:00	HZISBG09BHW	74.251	73.67	74.717	
2017/12/21 2:00:00	2017/12/21 2:15:00	HZISBG12BHW	80.504	81.681	79.551	
2017/12/21 2:15:00	2017/12/21 2:30:00	HZISBG09BHW	74.593	72.824	75.921	
2017/12/21 2:15:00	2017/12/21 2:30:00	HZISBG12BHW	81.794	81.569	81.981	
2017/12/21 2:30:00	2017/12/21 2:45:00	HZISBG09BHW	72.926	71.893	73.749	
2017/12/21 2:30:00	2017/12/21 2:45:00	HZISBG12BHW	79.015	79.166	78.893	
2017/12/21 2:45:00	2017/12/21 3:00:00	HZISBG09BHW	71.044	70.923	71.139	
2017/12/21 2:45:00	2017/12/21 3:00:00	HZISBG12BHW	81.558	79.208	83.431	
2017/12/21 3:00:00	2017/12/21 3:15:00	HZISBG09BHW	70.71	70.682	70.732	
2017/12/21 3:00:00	2017/12/21 3:15:00	HZISBG12BHW	80.669	80.051	81.17	
2017/12/21 3:15:00	2017/12/21 3:30:00	HZISBG09BHW	69.004	68.039	69.684	
2017/12/21 3:15:00	2017/12/21 3:30:00	HZISBG12BHW	80.582	78.523	82.283	
2017/12/21 3:30:00	2017/12/21 3:45:00	HZISBG09BHW	69.328	68.883	69.643	
2017/12/21 3:30:00	2017/12/21 3:45:00	HZISBG12BHW	82.331	81.675	82.858	
2017/12/21 3:45:00	2017/12/21 4:00:00	HZISBG09BHW	69.162	67.091	70.806	
2017/12/21 3:45:00	2017/12/21 4:00:00	HZISBG12BHW	81.825	79.742	83.318	
2017/12/21 4:00:00	2017/12/21 4:15:00	HZISBG09BHW	70.525	68.955	71.796	
2017/12/21 4:00:00	2017/12/21 4:15:00	HZISBG12BHW	82.593	81.426	83.533	
