------------------在性能统计中检查CSC3300的335674320 模块CPU平均占用率大于60%------------------
获取数据失败
Connection to Sybase server has been lost. All active transactions have been rolled back
------------------在性能统计中查询1056974608 CPU平均占用率测量结果大于80%------------------
无
------------------在性能统计中查询1056974658 单板内存占用率测量结果大于85%------------------
开始时间	结束时间	单板内存平均占用率	网元名称	位置	位置名称	
------------------在性能统计中查询ATS接通率------------------
StartTime	EndTime	网元名	ATS O侧接通率	ATS T侧接通率	ATS AS 接通率	
------------------在性能统计中查询PSBC接通率------------------
StartTime	EndTime	网元名	PSBC接通率	
2017/12/20 15:30:00	2017/12/20 15:45:00	HZPSBC14BHW	92.693	
2017/12/20 15:45:00	2017/12/20 16:00:00	HZPSBC13BHW	93.024	
2017/12/20 15:45:00	2017/12/20 16:00:00	HZPSBC14BHW	93.014	
2017/12/20 16:00:00	2017/12/20 16:15:00	HZPSBC13BHW	93.052	
2017/12/20 16:00:00	2017/12/20 16:15:00	HZPSBC14BHW	92.964	
2017/12/20 16:15:00	2017/12/20 16:30:00	HZPSBC13BHW	93.053	
2017/12/20 16:15:00	2017/12/20 16:30:00	HZPSBC14BHW	93.055	
2017/12/20 16:30:00	2017/12/20 16:45:00	HZPSBC13BHW	93.077	
2017/12/20 16:30:00	2017/12/20 16:45:00	HZPSBC14BHW	93.108	
2017/12/20 16:45:00	2017/12/20 17:00:00	HZPSBC13BHW	93.13	
2017/12/20 16:45:00	2017/12/20 17:00:00	HZPSBC14BHW	93.142	
2017/12/20 17:00:00	2017/12/20 17:15:00	HZPSBC13BHW	93.111	
2017/12/20 17:00:00	2017/12/20 17:15:00	HZPSBC14BHW	93.195	
2017/12/20 17:15:00	2017/12/20 17:30:00	HZPSBC13BHW	93.067	
2017/12/20 17:15:00	2017/12/20 17:30:00	HZPSBC14BHW	93.049	
2017/12/20 17:30:00	2017/12/20 17:45:00	HZPSBC13BHW	92.909	
2017/12/20 17:30:00	2017/12/20 17:45:00	HZPSBC14BHW	93.055	
2017/12/20 17:45:00	2017/12/20 18:00:00	HZPSBC13BHW	92.836	
2017/12/20 17:45:00	2017/12/20 18:00:00	HZPSBC14BHW	92.804	
2017/12/20 18:00:00	2017/12/20 18:15:00	HZPSBC13BHW	92.639	
2017/12/20 18:00:00	2017/12/20 18:15:00	HZPSBC14BHW	92.795	
2017/12/20 18:15:00	2017/12/20 18:30:00	HZPSBC13BHW	92.476	
2017/12/20 18:15:00	2017/12/20 18:30:00	HZPSBC14BHW	92.419	
2017/12/20 18:30:00	2017/12/20 18:45:00	HZPSBC13BHW	92.077	
2017/12/20 18:30:00	2017/12/20 18:45:00	HZPSBC14BHW	91.883	
2017/12/20 18:45:00	2017/12/20 19:00:00	HZPSBC13BHW	92.288	
2017/12/20 18:45:00	2017/12/20 19:00:00	HZPSBC14BHW	92.3	
2017/12/20 19:00:00	2017/12/20 19:15:00	HZPSBC13BHW	92.207	
2017/12/20 19:00:00	2017/12/20 19:15:00	HZPSBC14BHW	92.055	
2017/12/20 19:15:00	2017/12/20 19:30:00	HZPSBC13BHW	91.6	
2017/12/20 19:15:00	2017/12/20 19:30:00	HZPSBC14BHW	91.44	
2017/12/20 19:30:00	2017/12/20 19:45:00	HZPSBC13BHW	91.493	
2017/12/20 19:30:00	2017/12/20 19:45:00	HZPSBC14BHW	91.645	
2017/12/20 19:45:00	2017/12/20 20:00:00	HZPSBC13BHW	91.926	
2017/12/20 19:45:00	2017/12/20 20:00:00	HZPSBC14BHW	91.845	
2017/12/20 20:00:00	2017/12/20 20:15:00	HZPSBC13BHW	91.886	
2017/12/20 20:00:00	2017/12/20 20:15:00	HZPSBC14BHW	91.68	
2017/12/20 20:15:00	2017/12/20 20:30:00	HZPSBC13BHW	91.783	
2017/12/20 20:15:00	2017/12/20 20:30:00	HZPSBC14BHW	91.801	
2017/12/20 20:30:00	2017/12/20 20:45:00	HZPSBC13BHW	91.352	
2017/12/20 20:30:00	2017/12/20 20:45:00	HZPSBC14BHW	91.359	
2017/12/20 20:45:00	2017/12/20 21:00:00	HZPSBC13BHW	91.402	
2017/12/20 20:45:00	2017/12/20 21:00:00	HZPSBC14BHW	91.59	
2017/12/20 21:00:00	2017/12/20 21:15:00	HZPSBC13BHW	91.34	
2017/12/20 21:00:00	2017/12/20 21:15:00	HZPSBC14BHW	91.476	
